description,category
Inspire confidence and respect,key point
Catalyst of success,key point
Radiate confidence,key point
Elicit confidence,key point
Effectively maintain leadership in a group environment,key point
Take charge,key point
Inspire the cooperation and confidence of others,key point
Emulated by peers and subordinates,key point
Display an ability to stimulate others,key point
Command the respect of others,key point
Earn the respect an loyalty of subordinates,key point
Command the attention of others,key point
Show appreciation for contributions and achievements,key point
Inspire new employees to become leaders,key point
Promote harmony and teamwork,key point
Promote group harmony,key point
Encourage team-building efforts,key point
Build a team spirit,key point
Show eagerness and capacity to learn,key point
Display an exceptional ability to learn new methods,key point
Display an ability to learn rapidly and adapt quickly to changing situations,key point
Respond promptly to changes and opportunities,key point
Respond quickly to new instructions  situations  methods and procedures,key point
Quickly grasp new routines and explanations,key point
Receptive to new ideas,key point
Keep alert to new learning opportunities,key point
Make effective use of hands-on learning,key point
Benefit from all learning situations,key point
Encourage a positive learning environment,key point
Promote a learning climate,key point
Stimulate curiosity to improve learning,key point
Loyal to organization  associates and subordinates,decision
Display absolute loyalty to superiors and to the organization,decision
Build loyalty in subordinates,decision
Increase superior’s strengths,decision
Show positive attitudes toward employer and employees,decision
Place organizational interest ahead of personal convenience,decision
Display a renewed sense of purpose,decision
Committed to organizational goals,decision
Display a genuine interest in the organization,decision
Extremely dedicated,decision
Take pride in job,decision
Display a high degree of honesty  loyalty and integrity,decision
Know when to seek help outside the organization,key point
Identify relevant and appraisable components of effective management,key point
Accurately assess management effectiveness,key point
Keep management informed on questions of policy,key point
Excel in obtaining management support,key point
Consistently prepare appropriate recommendations,key point
Keep management informed on questions of policy,key point
Excel in obtaining management support,key point
Consistently prepare appropriate recommendations,key point
Provide management with valid and reliable information for human resources planning,key point
Provide management with accurate information concerning the strengths and weaknesses of employees,key point
Effectively resolve conflicts between individual needs and requirements of the organization,key point
Respect both employee rights and management prerogatives,key point
Demonstrate an ability to overcome internal barriers,key point
Effectively solve problems that cross organizational boundaries,key point
Excel in resolving interdepartmental conflicts,key point
Obtain the full support of other departments,key point
Pull the organization together,key point
Recognize the important roles of responsibility  authority and accountability,key point
Hold subordinates accountable for results,key point
Relate consequences to accountability,key point
Show those qualities that make a manager forceful and effective,key point
Display attributes of an effective manager,key point
Show strong self management,key point
Effectively manage self,key point
Display effective managerial behavior,key point
Display an effective  productive management style,key point
Recognize the difference between managing and doing,key point
Avoid managing by crisis,key point
Excel in human resource management,key point
Challenging and inspiring manager,key point
Excel in solving people problems,key point
Excel in defining  measuring and increasing productivity,key point
Achieve high productive output while maintaining high morale,key point
Keep employees aware of their importance to the organization,key point
Promote cooperative behavior and team efforts,key point
Build strong sense of teamwork and purpose,key point
Excel in tasks-oriented team development,key point
Obtain maximum team performance,key point
Achieve teamwork effectiveness,key point
Strive for maximum team performance,key point
Encourage efforts toward common goals,key point
Excel in developing synergistic strategies,key point
Maximize the use of company resources,key point
Account for effective and efficient use of personnel ,key point
Provide subordinates with the resources needed to attain results,key point
Attain results through the proper direction of subordinates,key point
Give clear direction,key point
Develops a cohesive department effort,key point
Aware of potential contributions of department,key point
Maintain firm departmental control,key point
Adhere to all policies  procedures and rules of decorum,key point
Effectively enforce policies  rules and regulations,key point
Maintain high ethical standards,key point
Displays sound ethics,key point
Follow proper codes of conduct,key point
Effectively recognize the need to change,key point
Effectively manage change ,key point
Implement change with minimal resistance,key point
Effectively deal with resistance to change,key point
Implement change with a positive impact,key point
Keep fully alert to the weaknesses  strengths  threats and opportunities facing the organization,key point
Excel in positioning for the future,key point
Display a high degree of emotional maturity,key point
Excel in separating emotion from rationality,key point
Display emotional stability,key point
Display strong emotional control,key point
Cope constructively with emotions,key point
Keep anger under control,key point
Display mature reaction points,key point
Maintain a mature attitude,key point
Maintain strong self-control,key point
Display superior emotional adjustments and stability,key point
Keep situations in proper perspective,key point
Display maturity in handling disappointments ,key point
Respond positively on inconsequential issues,key point
Grasp the most difficult concepts,action point
Display a depth of understanding,action point
Understand both theoretical and practical concepts ,action point
Distinguish between perception and reality,action point
Exceptionally keen and alert,action point
Reasonable  smart and alert,action point
Alert  quick and responsive,action point
Alert and broad-minded ,action point
Capable of sustaining a high level of concentration,action point
Give undivided attention,action point
Demonstrate logical thinking in one area,action point
Think before taking action point,action point
Think fast on feet,action point
Use common sense,action point
Use common sense to reach workable conclusions,action point
Use sound fact-finding approaches,action point
Display fresh insights,action point
Use intelligent reasoning,action point
Display considerable flexibility,action point
Display fresh thinking,action point
Display imaginative thinking ,action point
Display divergent thinking,action point
Excel in heuristic thinking,action point
Excel in independent thinking,action point
Think strategically,action point
Displays consistent  logical an orderly thinking,action point
Display excellent comprehension and retention,action point
Display strong powers of mental retention,action point
Possess strong memory skills,action point
Display strong memory power,action point
Display a strong power of recall,action point
Display a very high cognitive ability,action point
Excel in systematic observation,action point
Gain new perspective,action point
Demonstrate intellectual inquisitiveness,action point
Widen intellectual horizons ,action point
Make effective use of mental imaging,action point
Demonstrate positive mental outlook,action point
Think futuristically,key point
Strongly motivated to achieve optimal results,key point
Strongly motivated to achieve higher expectations,key point
Am a significant driving force,key point
Keep drive alive,key point
Display a strong sense of purpose,key point
Display a strong personal commitment,key point
Display strong achievement drive,key point
Display a strong competitive drive,key point
Display intense desire,key point
Display a spirit of determination,key point
Optimize individual traits,key point
Displays highly motivated inner drive,key point
Go beyond what is expected,key point
Give maximum effort,key point
Display energy and vitality in performing daily responsibilities,key point
Display intense involvement,key point
Seek total involvement,key point
Volunteer for extra work and demanding assignments,key point
Totally absorbed in job,key point
Turn past failures into future successes,key point
Success-oriented,key point
Capitalize on opportunities,key point
View problems as opportunities,key point
Recoil promptly from problems,key point
Maximize the opportunities within every situation,key point
Operate effectively under adverse conditions,key point
Look beyond obstacles,key point
Surmount obstacles,key point
Effectively overcome personal and organizational blocks to achieve results,key point
Effectively use behavior modification to create motivation and achieve results,key point
Display an enthusiastic spirit,key point
Display extraordinary enthusiasm,key point
Spark enthusiasm,key point
Build employee enthusiasm,key point
Develop a motivating environment,key point
Motivate and challenges,key point
Use subtle techniques to motivate,key point
Accentuate the positive,key point
Generates positive attitudes,key point
Provide positive reinforcements to achieve results,key point
Use positive reinforcements to motivate ,key point
Display high energy and drive,key point
Highly energetic and enterprising,key point
Display positive energy,key point
Prime mover,key point
Compulsive achiever,key point
Ambitious and hard-driving,key point
Task-oriented,key point
Results-oriented,key point
Self-motivator,key point
Maintain own momentum,key point
Maintain self-motivation,key point
Complete and cooperates,key point
Make effective use of positive imagery to achieve success,key point
Polished and confident speaker,key point
Face any size audience with confidence,key point
Excel in speaking on special occasions,key point
Excel in impromptu speaking situations,key point
Excel in delivering impromptu remarks,key point
Excel in extemporaneous speaking,key point
Speak effectively on feet,key point
Communicate with ease and a natural style,key point
Make presentation with poise and self-confidence,key point
Demonstrate strong personal presentation skills,key point
Make lively and effective presentations,key point
Demonstrate excellent oral presentation skills,key point
Continuously strive to improve presentation skills,key point
Use visual aids effectively,key point
Communicate effectively with well designed materials,key point
Make effective use of charts  graphs  figures and illustrations,key point
Make effective demonstrations,key point
Negotiate with skill,key point
Display strength in negotiating,key point
Disagree without arguing,key point
Know how and when to say “no”,key point
Make effective use of questions,key point
Present ideas with power and persuasion,key point
Achieve creditability and persuasiveness,key point
Have excellent persuasive ability,key point
Use voice and body to effectively convince and persuade,key point
Skillful interviewer,key point
Make  effective use of an extensive vocabulary,key point
Possess superior verbal understanding,key point
Use understandable language that is relevant and meaningful,key point
Excel in speech proficiency,key point
Eminently clear in verbal expressions,key point
Highly articulate,key point
Display clarity in expressing views,key point
State positions clearly,key point
Displays and ability to present views logically,key point
Speak at a pleasant tempo,key point
Enunciate clearly in a well-modulated voice,key point
Speak in a positive voice,key point
Make effective use of questions,key point
Present ideas with power and persuasion,key point
Achieve creditability and persuasiveness,key point
Have excellent persuasive ability,key point
Use voice and body to effectively convince and persuade,key point
Skillful interviewer,key point
Possess superior verbal understanding,key point
Use concise and clear language,key point
Use understandable language that is relevant and meaningful,key point
Excel in speech proficiency,key point
Eminently clear in verbal expressions,key point
Highly articulate,key point
Display clarity in expressing views,key point
State positions clearly,key point
Display and ability to present views logically,key point
Speak at a pleasant tempo,key point
Enunciate clearly in a well-modulated voice,key point
Speak in a positive tone,key point
Effectively develop organizational capabilities and integration of objectives,decision
Develop programs to improve the effectiveness of the department and overall operation of the organization,decision
Build organizational effectiveness,decision
Excel in developing jobs  organizational structure and systems,decision
Keep organizational levels to a minimum,decision
Avoid over staffing,decision
Maximize organizational productivity,decision
Encourage cooperative block-ups,decision
Make the most of organizational energy and potential,decision
Make a substantial contribution to the growth of the organization,decision
Exert a positive influence on the organizational climate,decision
Deal effectively with organizational climate,decision
Displays a broad grasp of the organization,decision
Identify organizational needs,decision
Encourage accountability throughout the organization,decision
Display an organized approach to the job,decision
Organize work well,decision
Organize effectively to achieve greater results,decision
Demonstrate a systematic approach in carrying out assignments,decision
Very orderly an systematic,decision
Methodical in planning and performing,decision
Demonstrate consistently distinguished performance,action point
Generate greater success in highly complex situations,action point
Consistently exceed performance expectations,action point
Performance regularly exceeds job requirements,action point
Provide a competitive edge,action point
Not content with mediocrity,action point
Excel in cutting through confusion,action point
Turn risk situations into opportunities,action point
Not content with mediocrity,action point
Excel in cutting through confusion,action point
Turn risk situations into opportunities,action point
Turn competitive impulses into the most constructive channels,action point
Display industriousness  conscientiousness and diligence in performing tasks,action point
Possess all traits associated with excellence ,action point
Excel in tedious research,action point
Recognize and accept personal assets and liabilities,action point
Display accurate self-perception of abilities,action point
Generate enthusiasm,action point
Extremely resourceful,action point
Recognize opportunities,action point
Demonstrate exceptional work habits,action point
Display strong work values,action point
Work diligently,action point
Extremely industrious,action point
Display a high energy potential,action point
Display hard strong perseverance,action point
Display persistent attention to the job,action point
Is precise and efficient,action point
Display concentrated effort,action point
Display refinement  character and objectivity,action point
Display trust an confidence,action point
Demonstrate credibility,action point
Faces conflicts with confidence,action point
Complete with confidence,action point
Extremely self-confident,action point
Radiate self-confidence,action point
Demonstrate positive self-concepts,action point
Excel in self-discipline,action point
Capitalize on basic strengths,action point
Effectively apply skills,action point
Maintain a high degree of involvement,action point
Develop success oriented approaches,action point
Display positive approaches ,action point
Turn negative into positive,action point
Display positive attitude toward job and others,action point
Display zest and pleasure in work,action point
Maintain an optimistic outlook when faces with difficulties,action point
Excel in handling tough situations ,action point
Develop positive expectations,action point
Develop realistic expectations,action point
Very performance conscious,action point
Set high standards of personal performance,action point
Receive and carries out tasks in a cooperative manner,action point
An important contributor to the success of the department,action point
Share ideas and techniques,action point
Excel as a team player,action point
Project objectively ,action point
Prevent personnel conflicts from reducing productivity,action point
Respond quickly to feedback,action point
Fair  cheerful and follows businesslike procedures to accomplish objectives,key point
Display a pleasant  cheerful disposition,key point
Display natural charm and charisma,key point
Display a pleasant demeanor,key point
Have a calm  even temperament ,key point
Stable  patient and steady,key point
Relaxed  confident  enjoyable,key point
Polished and poised,key point
Very cordial,key point
Display social grace,key point
Warm and genuine,key point
Sincere,key point
Display positive responses to negative situations,key point
Display positive  friendly and relaxed attitudes,key point
Use humor constructively,key point
Display keen wit,key point
Display a harmonious and cooperative spirit,key point
Possess a personal magnetism,key point
Display many positive character traits ,key point
Display a winning personality,key point
Display a pleasing personality,key point
Display an enterprising personality,key point
Display an outgoing personality,key point
Display energizing optimism,key point
Project energy and enthusiasm,key point
Establish strategic plans for future success,action point
Propose plans of action point which are timely  and realistic and positive,action point
Plan with a fresh perspective,action point
Plan  organizes and completes tasks in the shortest  most efficient manner,action point
Effectively formulate strategies  tactics and action point plans to achieve results,action point
Plan appropriate strategies to arrive at solutions,action point
Plan effectively for systematic results,action point
Excel in anticipating needs,action point
Develop innovative plans and solutions,action point
Meet or exceeds standards for major responsibilities or objectives on time or ahead of schedule,action point
Keep comfortably ahead of work schedule,action point
Translate planning into reality,action point
Effectively establish task priorities,action point
Formulate plans and envisions goals,action point
Develop rational planning techniques,action point
Effectively implement plans with harmony and cooperation,action point
Excel in developing action point plans,action point
Develop sound action point plans,action point
Effectively put plans into action point,action point
Excel in formulating and executing strategies,action point
Excel in strategy and action point,action point
Effectively translate ideas into action point,action point
Excel in developing strategic aims,action point
Develop strategic aims,action point
Effectively plan to avoid future problems ,action point
Prevent problems from occurring,action point
Excel in problem prevention,action point
Excel in anticipatory management,action point
Excel in anticipating reaction points,action point
Anticipate and resolve conflicts,action point
Plan for predictable resistance,action point
Develop innovative strategies,action point
Develop positive strategies,action point
Develop effective strategies to attain good performance,action point
Create flexible plans to meet changing opportunities,action point
Constantly develop techniques to generate new strategic alternatives,action point
Plan for the unexpected,action point
Excel in developing “what if” scenarios,action point
Excel in developing strategic alternatives,action point
Develop sound contingency plans,action point
Not controlled by events and crisis situations,action point
Presently capable of assuming greater responsibility,action point
Possess a strong capacity to make a greater contribution to the organization,action point
Strongly qualified for advancement ,action point
Display strong potential for advancement,action point
Need more responsibility to ensure continued satisfaction point and career growth,action point
Display high management potential,action point
High potential employee,action point
Capable of assuming a greater leadership role,action point
Capable of distinguished performance in a higher level position,action point
Eager to assume greater responsibility in the department or elsewhere,action point
Demonstrate a strong ability to identify  analyze and solve problems,action point
Display an ability to solve problems  think  reason and learn,action point
Excel in developing innovative and creative solutions,action point
Develop creative and cost effective solutions,action point
Excel in creative problem solving,action point
Displays a practical approach to solving problems,action point
Unusually decisive in handling difficult problems,action point
Effectively solve problems rather than symptoms,action point
Excel in identifying the real problems,action point
Excel in solving critical problems,action point
Solve problems before they become critical,action point
Excels in trouble shooting,action point
Work well with others in solving problems,action point
Translate problems into practical solutions,action point
Look upon problems as exciting challenges,action point
Turn problems into opportunities,action point
Demonstrate an exceptional mastery of professional skills,action point
Demonstrate professional expertise,action point
Display well-oriented professional knowledge,action point
Seasoned professional,action point
Develop the skills needed to maintain the highest standards of professional excellence,action point
Quality of work reflects high professional standards,action point
Write memos  letters and reports that reflect professional expertise,action point
Develop enduring professional relationships,action point
Provide subordinates with definite  positive assistance to correct professional difficulties,action point
Convey professionalism ,action point
Display a professional pride,action point
Display high standards of professional behavior,action point
Demonstrate high standards of professional conduct,action point
Display a professional style,action point
Display a professional profile,action point
Maintain high professional ethics,action point
Follows ethical procedures,action point
Stimulate professionalism,action point
Engender respect for profession,action point
Display loyalty to profession,action point
Quality of work is consistently high,key point
Achieve the highest standard of excellence,key point
Shows professional concern for quality work,key point
Emphasize on quality enhancement,key point
Promote quality awareness,key point
Recognize the importance of quality in providing a competitive edge,key point
Demonstrate accuracy  thoroughness and orderliness in performing work assignments,key point
Perform with unusual accuracy  thoroughness and effectiveness,key point
Committed to excellence,key point
Achieve consistent effectiveness,key point
Strive for state-of-the-art perfection,key point
Extremely neat,key point
Provide total quality assurance,key point
Display pride in work,key point
Make a substantial contribution to the continued operation and growth of the organization,key point
Quantity of work is consistently high,key point
Perform at peak efficiency ,key point
Maintain a peak performance,key point
Sustain a high achievement level,key point
Work at a high achievement level,key point
Perform at a high energy level,key point
Effectively expand energy,key point
Maintain unusually high output,key point
Fast and productive,key point
Perform with unusual speed at a high rate of output,key point
Exceed normal output standards,key point
Produce beyond normal expectations,key point
Constantly produce more than expected,key point
Excel in effective human relations,key point
Understand human behavior,key point
Identify and understand personal values of superiors  subordinates  peers  and others,key point
Recognize the needs of others,key point
Display a high degree of recognition  acceptance and prestige in dealing with others,key point
Make favorable impression and easily gains acceptance by others,key point
Make the best impression in every situation,key point
Convey a positive personal image,key point
Excel in obtaining enthusiastic commitments,key point
Gain management commitments,key point
Well accepted by others under difficult circumstances,key point
Work harmoniously and effectively with others,key point
Get along well with others,key point
Develop a strong working rapport with others,key point
Develop positive working relationships,key point
Develop mutual support,key point
Build a close rapport,key point
Build trust and rapport,key point
Build a climate of trust,key point
Excels in trust building,key point
Promote relationships of trust and respect,key point
Develop interpersonal trust,key point
Develop relationships based on dependability and honesty,key point
Build on mutual dependence and understanding,key point
Understand and know how to get along with co-workers,key point
Work effectively with others,key point
Establish effective working relationships,key point
Promote harmony among associates,key point
Attract the favorable attention of superiors,key point
Build positive relationships with superiors,key point
Work effectively with multiple superiors ,key point
Convey considerable influence with superiors,key point
Establish credibility with superiors and subordinates,key point
Interact effectively with peers,key point
Display unconditional positive regard,key point
Convey positive influences,key point
Display geniuses in dealing with others,key point
Convey a willingness to help,key point
Excel in promoting team efforts,key point
An excellent team worker,key point
Exceptionally willing and successful as a team worker,key point
Generate synergy,key point
Encourage organization-wide cooperation,key point
Promote participative approaches ,key point
Extremely cooperative with associates,key point
Demonstrate an ability to relate,key point
Excel in sustaining concentration while avoiding confrontations,key point
Working well in cooperating with others for the benefit of the organization,key point
Promote cooperation,key point
Cooperative and constructive,key point
Exercise considerable influence,key point
Demonstrate strong interpersonal skills,key point
Display and interpersonal regard,key point
Display positive affectivity,key point
Respect the opinions of others,key point
Demonstrate self-reliance and resourcefulness,key point
Extremely resourceful and enthusiastic,key point
Maximize individual resources and energies,key point
Optimize the use of all available resources,key point
Make effective use of all organizational resources,key point
Achieve success when conformed with limited resources,key point
Effectively organize  assemble and arrange resources to meet goals,key point
Effectively match goals to resources,key point
Effectively match resources with objectives,key point
Effectively assess employee resources  strengths and competencies,key point
Develop resourceful solutions,key point
Devote appropriate attention to all responsibilities,action point
Accept responsibility for own decisions and those of subordinates,action point
Assume responsibility for mistakes and shortcoming or subordinates,action point
Willing to accept ultimate responsibility,action point
Accept responsibility for compliance with rules and regulations,action point
Continue to seek and accept responsibility,action point
Seize responsibility,action point
Thrive on responsibility,action point
Take positive action point to meet growing responsibility,action point
Take positive action point to meet growing responsibility,action point
Delegate responsibility effectively,action point
Especially effective in assigning responsibility,action point
Build personal accountability,action point
Display a willingness to face conflicts,action point
Accept new job assignments willingly,action point
View new assignment as an opportunity for growth,action point
Successfully cope with demands from superiors  subordinates and peace,key point
Successfully handle multiple demands from superiors and subordinates,key point
Perform effectively despite sudden deadlines and changing priorities,key point
Effectively handle competing priorities,key point
Work effectively for multiple superiors,key point
Thrive on stressful situations,key point
Cope effectively with pressures and tensions,key point
Effectively handle stress and anxiety,key point
Handle crisis and emergencies with coolness,key point
Demonstrate coolness under stress,key point
Maintain coolness despite annoyances,key point
Show a strong resistance to annoyances,key point
Show finesse in situations of stress,key point
Perform well in crisis situations,key point
Perform well under pressure,key point
Work effectively in high pressure situations,key point
Work calmly in a turbulent environment ,key point
Remain calm in crisis situations,key point
Remain calm under pressure,key point
Get things done calmly,key point
Display impressive poise under stress,key point
Show poise when under pressure,key point
Maintain personal composure in high stress situations,key point
Handle crises with composure,key point
Project composure,key point
Cope effectively with risk and uncertainty,key point
Adjust promptly and calmly to change,key point
Handle crises with composure,key point
Project composure,key point
Cope effectively with risk and uncertainty,key point
Adjust promptly and calmly to change,key point
Handle the unexpected with coolness,key point
Successfully cope with unlimited consequences,key point
Effectively manage stress,key point
Plan to deal effectively with anticipated stressful situations,key point
Capably handle potentially volatile situations,key point
Make positive use of stress to improve performance,key point
Make effective use of humor to ease tensions,key point
Remain in solid control,key point
Keep stress under control,key point
Gain control over job pressure,key point
Recognize the impact of stress and burnout on organizational effectiveness,key point
Know when to seek help,key point
Recognize the importance of sound physical and mental health for top performance,key point
Effectively balance the demands of job with private life,key point
Effectively motivate subordinates to exert the effort necessary to attain organizational goals,decision
Excel in the supervision and leadership of subordinates,decision
Maintain a work situation which stimulates the growth of individuals ,decision
Strive to make more meaningful and challenging contributions to the betterment of the department,decision
Make certain that employees have a clear understanding of their responsibilities,decision
Effectively prevent over-staffing,decision
Establish realistic work demands,decision
Develop precise job expectations,decision
Divide work into manageable activities,decision
Ensure cost-efficient assignment of employees,decision
Effectively balance work flow,decision
Use job enrichment to improve productivity,decision
Expect and demand superior performance,decision
Place emphasis on results,decision
Excel in getting work done by others ,decision
Optimize productivity,decision
Gain maximum productivity from employees,decision
Maximize the performance of people and equipment,decision
Make maximum use of personnel and equipment,decision
Give constant encouragement to subordinates,decision
Give constructive suggestions to subordinates,decision
Effectively coach subordinates toward achievement,decision
Bring out the best in employees,decision
Challenge the abilities of subordinates,decision
Recognize the important relationships between rewards  reinforcement and results,decision
Maximize the value of recognition and rewards,decision
Make effective use of constructive compliments ,decision
Give proper recognition,decision
Excel in giving verbal praise,decision
Develop a climate providing motivation  participation and opportunities for employee initiative,decision
Promote an effective climate,decision
Encourage a climate for action point,decision
Develop a spirit of teamwork,decision
Build cooperation,decision
Promote a comfortable  friendly organizational atmosphere,decision
Effectively communicate organizational policies and other information to subordinates,decision
Is readily accessible to subordinates,decision
Promote positive involvement,decision
Encourage active involvement of staff,decision
Receive full support from staff,decision
Stimulate individual participation,decision
Stimulate productive discussion sessions for positive action point,decision
Effectively seek and obtain ideas,decision
Show concern for the employee as a person,decision
Hire qualified people,decision
Give helpful guidance to new employees,decision
Show a sincere interest in employees and the solution to their problems,decision
Excel in effective coaching and counseling of subordinates,decision
Effectively use counseling techniques and skills,decision
Inspire voluntary support and guidance to employees,decision
Lend supports and guidance to employees,decision
Assist employees in career assessments,decision
Give sound  practical advice,decision
Guide employees to proper resources whenever help is needed,decision
Properly assert authority,decision
Effective in giving orders and directions,decision
Give clear instructions ,decision
Avoid over-supervising,decision
Promotes a high degree of morale,decision
Strengthen morale,decision
Gain employee confidence,decision
Develop strong credibility with subordinates,decision
Understand different personalities and traits,decision
Show empathy,decision
Show genuine respect,decision
Show warmth and consideration,decision
Sensitive to the feelings of others,decision
Supervise firmly and fairly,decision
Fair and firm when dealing with subordinates,decision
Establish acceptable tolerance levels,decision
Overcome resistance to technological change,decision
Effectively handle employee problems and discontent,decision
Handle employee problems professionally,decision
Recognize and deals with signs of employee unrest,decision
Encourage constructive feedback,decision
Turn complaints into opportunities,decision
Maintain order and discipline,decision
Know when to reprimand,decision
Know when to ignore,decision
Know when to confront,decision
Handle disruptive behavior with firmness,decision
Settle disputes firmly,decision
Quickly settle disciplinary problems,decision
Take prompt corrective action point,decision
Handle problems immediately,decision
Keep small situation from becoming big problems,decision
Use constructive discipline,decision
Effectively control employee absenteeism and tardiness,decision
Decisively handle chronic absenteeism,decision
Overcome personally conflicts,decision
Capably manage the marginal performer,decision
Excel in revitalizing employees who are coasting,decision
Capably handle difficult people,decision
Capably handle resistance from staff members,decision
Deal effectively with resistance,decision
Effectively deal with mistakes and errors,decision
Cope effectively with misunderstanding,decision
Correct without criticizing,decision
Take positive steps to avoid recurrences of errors,decision
Keep informed of supervisory legal responsibilities,decision
Ensure that all personnel problems are properly documented to avoid litigation,decision
Take appropriate remedial action point,decision
Display a high degree of tact and diplomacy,key point
Handle situations with poise  understanding and tact,key point
Deal tactfully with both lower and higher authority,key point
Work well with others in the solution of mutual problems,key point
Respect the opinions  abilities and contributions of others,key point
Cooperative and open-minded in working with others,key point
Effectively turn defensive situations into supportive relationships,key point
Take appropriate action point without offending,key point
Handle situations without raising antagonism or hostility,key point
Handle situation in a calm  objective manner,key point
Effectively resolve misunderstanding ,key point
Accomplish results without creating friction,key point
Avoid arguments,key point
Handle confrontations with tact,key point
Disagree diplomatically,key point
Tactful in conflict situations,key point
Negotiate with tact,key point
Display trust and mutual understanding,key point
Employ procedures that reveal poise,key point
Accept constructive criticism,key point
Tactfully admit mistakes and errors,key point
Display proper etiquette,key point
Display grace and style,key point
Follow proper protocol,key point
Polite is all situations,key point
Display excellent mannerisms,key point
Convey sincere appreciation at every opportunity,key point
Achieve maximum time effectiveness,key point
Place a high value on time effectiveness,key point
Excel in priority determinations,key point
Distinguish between low and high priority activities,key point
Display a strong sense of priorities,key point
Demonstrate effective allocation of time resources,key point
Concentrate on activities with a high payoff,key point
Concentrate on areas yielding the greatest return,key point
Focus on relevant issues,key point
Eliminate tasks which contribute the least to organizational goals,key point
Identify unessential activities,key point
Identify and eliminates time wasters,key point
Avoid time snares,key point
Use systematic methods to accomplish more in less time,key point
Delegate for maximum time effectiveness,key point
Set realistic time goals,key point
Make effective use of peak time periods,key point
Maximize peak times,key point
Use time productively,key point
Uses time wisely,key point
Make effective use of supervisor’s time and resources,key point
Make effective use of travel time,key point
Make effective use of waiting time ,key point
Maintain control over interruptions,key point
Effectively control telephone  visitors and other time traps,key point
Schedule all appointments,key point
Effectively use the calendar,key point
Effectively eliminate unnecessary paperwork,key point
Work smarter  not harder,key point
Make effective use of discretionary time,key point
Keep personal  family  and work life in proper perspective,key point
Avoid confusing activity with accomplishments,key point
Possess many talents and capabilities,key point
Demonstrate competence in many areas,key point
Has the ability to perform a wide range of assignments,key point
Successfully handle multiple projects at the same time,key point
Display versatile expertise ,key point
Demonstrate diversified skills,key point
Extremely versatile,key point
Effectively handle special assignments,key point
Display flexibility in adapting to changing conditions,key point
Effectively cope with accelerating changes,key point
Flexible and open toward change,key point
Extremely valuable In providing back-up support for other jobs,key point
Write letters  memos and reports that command attention and achieve results,key point
Write with remarkable clarity and consistency,key point
Write precisely and effectively,key point
Write to convey a positive impression,key point
Write in a positive tone,key point
Write in a positive manner to reflect favorably upon the organization,key point
Write reports that achieve maximum impact,key point
Write with persuasion,key point
Write proposals that win approval,key point
Prepare persuasive presentations,key point
Prepare concise and meaningful reports,key point
Write to ensure readability,key point
Excel in converting complex information into simple  readable form,key point
Place emphasis on meaningful action point words,key point
Possess a large vocabulary,key point
Demonstrate strong editing skills,key point
Demonstrate creative writing ability,key point
activitystar,action point
dealstar,action point
forcestar,action point
lifestar,action point
movementstar,action point
operationstar,action point
planstar,action point
processstar,action point
reaction pointstar,action point
responsestar,action point
agilitystar,action point
alacritystar,action point
alertnessstar,action point
animationstar,action point
bagstar,action point
ballgamestar,action point
bitstar,action point
businessstar,action point
bustlestar,action point
commotionstar,action point
dashstar,action point
energystar,action point
enterprisestar,action point
flurrystar,action point
functioningstar,action point
gamestar,action point
goingstar,action point
happeningstar,action point
hastestar,action point
hooplastar,action point
hopperstar,action point
industrystar,action point
livelinessstar,action point
motionstar,action point
occupationstar,action point
powerstar,action point
propositionstar,action point
racketstar,action point
rushstar,action point
scenestar,action point
spiritstar,action point
stirstar,action point
stuntstar,action point
are u ready to take this,action point
has,action point
get ready,action point
see,action point
need,action point
know,action point
would,action point
find,action point
take,action point
want,action point
does,action point
learn,action point
become,action point
come,action point
include,action point
thank,action point
provide,action point
create,action point
add,action point
understand,action point
consider,action point
choose,action point
develop,action point
remember,action point
determine,action point
grow,action point
allow,action point
supply,action point
bring,action point
improve,action point
maintain,action point
begin,action point
exist,action point
tend,action point
enjoy,action point
perform,action point
decide,action point
identify,action point
continue,action point
protect,action point
require,action point
occur,action point
write,action point
approach,action point
avoid,action point
prepare,action point
build,action point
achieve,action point
believe,action point
receive,action point
seem,action point
discuss,action point
realize,action point
contain,action point
follow,action point
refer,action point
solve,action point
describe,action point
prefer,action point
prevent,action point
discover,action point
ensure,action point
expect,action point
invest,action point
reduce,action point
speak,action point
appear,action point
explain,action point
explore,action point
involve,action point
lose,action point
afford,action point
agree,action point
hear,action point
remain,action point
represent,action point
apply,action point
forget,action point
recommend,action point
rely,action point
vary,action point
generate,action point
obtain,action point
accept,action point
communicate,action point
complain,action point
depend,action point
enter,action point
happen,action point
indicate,action point
suggest,action point
survive,action point
appreciate,action point
compare,action point
imagine,action point
manage,action point
differ,action point
encourage,action point
expand,action point
prove,action point
react,action point
recognize,action point
relax,action point
replace,action point
borrow,action point
earn,action point
emphasize,action point
enable,action point
operate,action point
reflect,action point
send,action point
anticipate,action point
assume,action point
engage,action point
enhance,action point
examine,action point
install,action point
participate,action point
intend,action point
introduce,action point
relate,action point
settle,action point
assure,action point
attract,action point
distribute,action point
overcome,action point
owe,action point
succeed,action point
suffer,action point
throw,action point
acquire,action point
adapt,action point
adjust,action point
argue,action point
arise,action point
confirm,action point
encouraging,action point
incorporate,action point
justify,action point
organize,action point
ought,action point
possess,action point
relieve,action point
retain,action point
shut,action point
