,price,place,built,sqft,sale,yearsOld,floor,totalFloor,bhk
2074,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1474,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
925,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1633,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
579,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
292,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1019,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
14,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1743,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2188,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
669,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1698,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2635,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2162,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2051,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
43,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
243,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
2645,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2524,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2214,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2547,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2537,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2452,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
412,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2019,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
154,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
360,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1884,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1078,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1210,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1101,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
358,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
92,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
97,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2932,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
219,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2871,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1821,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
782,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1347,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1870,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1649,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1373,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1955,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2917,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2109,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1526,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2640,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1115,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
548,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2683,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2849,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2331,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
301,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
529,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1283,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
782,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2888,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
22,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1617,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2704,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1869,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2202,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2222,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2211,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
108,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
294,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
700,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
733,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1267,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
162,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2618,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
879,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1187,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
540,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1506,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2022,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2927,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1223,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
542,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2144,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1648,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
168,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
948,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
46,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2176,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1947,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2891,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
612,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
572,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1435,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2429,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
983,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2665,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
678,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
218,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2287,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1140,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2227,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1873,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
379,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
65,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
798,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
39,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2487,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
784,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
788,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2131,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1397,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
191,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2429,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2228,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2729,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
931,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1241,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2914,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1346,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
764,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1035,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1534,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1640,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
888,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2653,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1584,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2748,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1787,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1153,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1338,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2219,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
562,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2437,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1861,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
606,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2769,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
846,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
240,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
738,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2534,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2895,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
271,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2146,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
789,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2082,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1495,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1716,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2395,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
101,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2445,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2917,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1482,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
299,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1837,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2542,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
760,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1906,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1058,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2304,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1471,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1299,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2090,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
585,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2758,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1963,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1469,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2391,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2237,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1518,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
668,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1610,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
850,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
588,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1666,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
842,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
888,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1975,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1090,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2188,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2245,47500000,Rajaji Nagar,Super built-up  Area,3526,Resale,5,17,29,17
2587,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1610,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1054,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2746,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1840,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1418,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
841,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2478,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2227,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
683,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2226,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
561,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2317,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2550,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
845,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1967,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1292,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2685,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
113,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2624,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
698,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
33,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
572,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
839,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
233,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
430,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1843,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1575,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
916,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2047,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2054,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
524,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1530,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1197,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2875,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
1160,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2394,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2128,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
759,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2523,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1448,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1695,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
13,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1244,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1735,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2656,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2841,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
1017,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2538,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
717,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2104,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2357,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2165,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2806,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1832,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1731,47500000,Rajaji Nagar,Super built-up  Area,3526,Resale,5,17,29,17
2659,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1538,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1972,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2089,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2095,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2798,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1122,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
665,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2342,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1350,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1244,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1088,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1988,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1486,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1202,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
180,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1716,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1341,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1866,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1070,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2671,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1002,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1497,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2360,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2897,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
667,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1158,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
193,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1028,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2222,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2302,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
623,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2775,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2303,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
774,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1717,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1969,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1988,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
821,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1908,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2662,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1454,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
276,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2493,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1427,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
581,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
72,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2130,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1267,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
1288,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1693,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2157,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2701,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
646,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
539,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2312,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
647,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
133,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
104,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2070,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
101,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2512,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2553,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2726,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2239,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
473,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2495,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2686,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
171,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1269,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
469,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
135,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2091,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2312,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1880,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
372,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
240,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1439,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
409,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1836,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1029,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2695,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2003,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2665,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1312,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2525,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
85,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1523,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2567,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2161,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1891,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2044,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2576,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
362,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
971,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1288,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2489,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1925,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1047,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2275,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
105,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1549,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2503,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2093,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1410,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1256,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2407,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1676,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2540,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1022,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2081,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1388,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1867,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1148,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1297,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1988,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2004,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1250,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
383,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
409,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
